"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Kahn 2012"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Kalman 2011"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Karam-Hage 2011"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","Killen 2000"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Killen 2004"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Killen 2010"
"Unclear risk","Unclear risk",NA,NA,"High risk","Low risk",NA,"High risk","CD000031","Kumar 2020"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","High risk",NA,"Low risk","CD000031","Levine 2010"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","McCarthy 2008"
"Low risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","CD000031","Minami 2014"
"High risk","High risk",NA,NA,"High risk","High risk",NA,"Low risk","CD000031","Moreno-Coutino 2015"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Muramoto 2007"
"Low risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Myles 2004"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","NCT00132821"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","NCT00308763"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","NCT00495352"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","NCT00578669"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","High risk",NA,"Low risk","CD000031","NCT01406223"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Niaura 2002"
"Low risk","Low risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Nides 2006"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Parsons 2009"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","CD000031","Perkins 2013"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Piper 2007"
"Unclear risk","Low risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Piper 2009"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Planer 2011"
"Unclear risk","Unclear risk",NA,NA,"High risk","High risk",NA,"Low risk","CD000031","Prochazka 1998"
"Low risk","Low risk",NA,NA,"High risk","Low risk",NA,"Low risk","CD000031","Prochazka 2004"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Qin 2021"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Richmond 2013"
"Low risk","Low risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Rigotti 2006"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","High risk",NA,"Low risk","CD000031","Rose 2013"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Rose 2014"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Rose 2017"
"Unclear risk","Unclear risk",NA,NA,"High risk","High risk",NA,"Low risk","CD000031","Rovina 2003"
"Unclear risk","Unclear risk",NA,NA,"High risk","Unclear risk",NA,"Low risk","CD000031","Rovina 2009"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","Saules 2004"
"Unclear risk","Unclear risk",NA,NA,"Low risk","Unclear risk",NA,"Low risk","CD000031","Schepis 2006"
"Low risk","Low risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Schmitz 2007"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Low risk",NA,"Low risk","CD000031","Schnoll 2010"
"Unclear risk","Unclear risk",NA,NA,"Unclear risk","Unclear risk",NA,"Low risk","CD000031","Selby 2003"
"Low risk","Unclear risk",NA,NA,"Low risk","Low risk",NA,"Low risk","CD000031","Sheng 2013"
