Cochrane.Review.ID	Author.s.	Title	Year	Keywords	DOI	URL	Cochrane.Review.Group.Code	base_id	version
CD001908.PUB4	Bresnahan, R; Martin‐McGill, KJ; Hutton, JL; Marson, AG	Tiagabine add‐on therapy for drug‐resistant focal epilepsy	2019	*Drug Resistance; Anticonvulsants [adverse effects, *therapeutic use]; Cognition [drug effects]; Epilepsies, Partial [*drug therapy]; Humans; Nipecotic Acids [adverse effects, *therapeutic use]; Randomized Controlled Trials as Topic; Tiagabine	10.1002/14651858.CD001908.pub4	http://dx.doi.org/10.1002/14651858.CD001908.pub4	Epilepsy	CD001908	4
CD001909.PUB4	Panebianco, M; Bresnahan, R; Marson, AG	Lamotrigine add‐on therapy for drug‐resistant focal epilepsy	2023	*Drug Resistant Epilepsy [drug therapy]; *Drug-Related Side Effects and Adverse Reactions; *Epilepsies, Partial [chemically induced, drug therapy]; Adult; Anticonvulsants [adverse effects]; Ataxia [chemically induced, drug therapy]; Child; Diplopia [chemically induced, drug therapy]; Dizziness [chemically induced]; Drug Therapy, Combination; Humans; Lamotrigine [therapeutic use]; Nausea [chemically induced]; Seizures [drug therapy]	10.1002/14651858.CD001909.pub4	http://dx.doi.org/10.1002/14651858.CD001909.pub4	Epilepsy	CD001909	4
CD001910.PUB2	Bradley, PM; Lindsay, B	Epilepsy clinics versus general neurology or medical clinics	2008	*Family Practice; *Hospitals, Special; *Neurology; Epilepsy [*therapy]; Humans; Randomized Controlled Trials as Topic; Specialization; Treatment Outcome	10.1002/14651858.CD001910.pub2	http://dx.doi.org/10.1002/14651858.CD001910.pub2	Epilepsy	CD001910	2
CD001911.PUB4	Nevitt, SJ; Marson, AG; Tudur Smith, C	Carbamazepine versus phenytoin monotherapy for epilepsy: an individual participant data review	2019	Anticonvulsants [adverse effects, *therapeutic use]; Carbamazepine [adverse effects, *therapeutic use]; Child; Epilepsy [*drug therapy]; Humans; Phenytoin [adverse effects, *therapeutic use]; Randomized Controlled Trials as Topic; Remission Induction; Seizures [prevention & control]; Treatment Failure; Treatment Outcome	10.1002/14651858.CD001911.pub4	http://dx.doi.org/10.1002/14651858.CD001911.pub4	Epilepsy	CD001911	4
CD001912.PUB5	Rosenfeld, M; Rayner, O; Smyth, AR	Prophylactic anti‐staphylococcal antibiotics for cystic fibrosis	2020	*Antibiotic Prophylaxis; *Staphylococcus aureus [isolation & purification]; Bias; Child; Child, Preschool; Cystic Fibrosis [*microbiology]; Drug Resistance, Bacterial; Forced Expiratory Volume; Growth; Humans; Infant; Infant, Newborn; Pseudomonas aeruginosa [isolation & purification]; Randomized Controlled Trials as Topic; Respiratory Tract Infections [*prevention & control]; Staphylococcal Infections [*prevention & control]	10.1002/14651858.CD001912.pub5	http://dx.doi.org/10.1002/14651858.CD001912.pub5	Cystic Fibrosis and Genetic Disorders	CD001912	5
CD001913	Lees, C; Davies, SC; Dezateux, C	Neonatal screening for sickle cell disease	2000	*Neonatal Screening; Anemia, Sickle Cell [*diagnosis]; Humans; Infant, Newborn	10.1002/14651858.CD001913	http://dx.doi.org/10.1002/14651858.CD001913	Cystic Fibrosis and Genetic Disorders	CD001913	1
CD001914.PUB2	Francis, DK; Smith, J; Saljuqi, T; Watling, RM	Oral protein calorie supplementation for children with chronic disease	2015	*Energy Intake; *Nutritional Status; Adolescent; Child; Child, Preschool; Chronic Disease; Cystic Fibrosis [*complications]; Dietary Proteins [administration & dosage, adverse effects]; Dietary Supplements [*adverse effects]; Humans; Infant; Neoplasms [*complications]; Nutrition Disorders [etiology, *therapy]; Outcome Assessment, Health Care; Quality of Life; Randomized Controlled Trials as Topic; Survival Analysis	10.1002/14651858.CD001914.pub2	http://dx.doi.org/10.1002/14651858.CD001914.pub2	Cystic Fibrosis and Genetic Disorders	CD001914	2
CD001915.PUB6	Balfour-Lynn, IM; Welch, K; Smith, S	Inhaled corticosteroids for cystic fibrosis	2019	Administration, Inhalation; Adolescent; Adrenal Cortex Hormones [administration & dosage, adverse effects, *therapeutic use]; Adult; Anti-Inflammatory Agents [administration & dosage, adverse effects, *therapeutic use]; Child; Cystic Fibrosis [*drug therapy]; Forced Expiratory Volume [drug effects]; Humans; Middle Aged; Randomized Controlled Trials as Topic; Vital Capacity; Young Adult	10.1002/14651858.CD001915.pub6	http://dx.doi.org/10.1002/14651858.CD001915.pub6	Cystic Fibrosis and Genetic Disorders	CD001915	6
CD001916.PUB3	Anie, KA; Green, J	Psychological therapies for sickle cell disease and pain	2015	*Adaptation, Psychological; Adolescent; Adult; Child; Depression [psychology, therapy]; Hemoglobin SC Disease [*therapy]; Humans; Outcome Assessment, Health Care; Pain Management [*methods]; Pain [psychology]; Psychotherapy [*methods]; Randomized Controlled Trials as Topic	10.1002/14651858.CD001916.pub3	http://dx.doi.org/10.1002/14651858.CD001916.pub3	Cystic Fibrosis and Genetic Disorders	CD001916	3
CD001917.PUB4	Balaguer, A; González de Dios, J	Home versus hospital intravenous antibiotic therapy for cystic fibrosis	2015	Adolescent; Adult; Anti-Bacterial Agents [*administration & dosage]; Child; Cystic Fibrosis [*complications]; Home Care Services [*economics]; Hospitalization [*economics]; Humans; Injections, Intravenous; Randomized Controlled Trials as Topic; Respiratory Tract Infections [*drug therapy, etiology]; Self Care; Staphylococcal Infections [*drug therapy]; Staphylococcus aureus	10.1002/14651858.CD001917.pub4	http://dx.doi.org/10.1002/14651858.CD001917.pub4	Cystic Fibrosis and Genetic Disorders	CD001917	4
CD001918.PUB3	Malhotra, A; Shafiq, N; Arora, A; Singh, M; Kumar, R; Malhotra, S	Dietary interventions (plant sterols, stanols, omega‐3 fatty acids, soy protein and dietary fibers) for familial hypercholesterolaemia	2014	*Diet, Fat‐Restricted; Adult; Child; Cross‐Over Studies; Fatty Acids, Omega‐3 [administration & dosage]; Humans; Hyperlipoproteinemia Type II [*diet therapy]; Phytosterols [administration & dosage]; Randomized Controlled Trials as Topic; Soybean Proteins [administration & dosage]	10.1002/14651858.CD001918.pub3	http://dx.doi.org/10.1002/14651858.CD001918.pub3	Cystic Fibrosis and Genetic Disorders	CD001918	3
CD001919.PUB4	Crocker, TF; Brown, L; Lam, N; Wray, F; Knapp, P; Forster, A	Information provision for stroke survivors and their carers	2021	*Caregivers; *Stroke; Depression; Humans; Quality of Life; Survivors; Systematic Reviews as Topic	10.1002/14651858.CD001919.pub4	http://dx.doi.org/10.1002/14651858.CD001919.pub4	Stroke	CD001919	4
CD001920.PUB4	Todhunter-Brown, A; Sellers, CE; Baer, GD; Choo, PL; Cowie, J; Cheyne, JD; Langhorne, P; Brown, J; Morris, J; Campbell, P	Physical rehabilitation approaches for the recovery of function and mobility following stroke	2025	*Bias; *Randomized Controlled Trials as Topic; *Recovery of Function; *Stroke Rehabilitation [methods]; Activities of Daily Living; Exercise Therapy [methods]; Gait; Humans; Physical Therapy Modalities; Postural Balance; Stroke; Walking	10.1002/14651858.CD001920.pub4	http://dx.doi.org/10.1002/14651858.CD001920.pub4	Central Editorial Service	CD001920	4
CD001921	Cao, P; De Rango, P; Zannetti, S; Giordano, G; Ricci, S; Celani, MG	Eversion versus conventional carotid endarterectomy for preventing stroke	2000	Confidence Intervals; Endarterectomy, Carotid [adverse effects, *methods]; Humans; Odds Ratio; Randomized Controlled Trials as Topic; Recurrence; Stroke [etiology, *prevention & control]	10.1002/14651858.CD001921	http://dx.doi.org/10.1002/14651858.CD001921	Stroke	CD001921	1
CD001922.PUB3	Naccarato, M; Chiodo Grandi, F; Dennis, M; Sandercock, PAG	Physical methods for preventing deep vein thrombosis in stroke	2010	*Intermittent Pneumatic Compression Devices; *Stockings, Compression [adverse effects]; Humans; Pulmonary Embolism [*prevention & control]; Randomized Controlled Trials as Topic; Stroke [*complications]; Venous Thrombosis [*prevention & control]	10.1002/14651858.CD001922.pub3	http://dx.doi.org/10.1002/14651858.CD001922.pub3	Stroke	CD001922	3
CD001923.PUB2	Chambers, BR; Donnan, G	Carotid endarterectomy for asymptomatic carotid stenosis	2005	*Endarterectomy, Carotid [adverse effects]; Carotid Stenosis [*surgery]; Humans; Randomized Controlled Trials as Topic; Risk Assessment; Stroke [*prevention & control]	10.1002/14651858.CD001923.pub2	http://dx.doi.org/10.1002/14651858.CD001923.pub2	Stroke	CD001923	2
CD001924	Gandolfo, C; Sandercock, PAG; Conti, M	Lubeluzole for acute ischaemic stroke	2002	Acute Disease; Brain Ischemia [*drug therapy]; Humans; Neuroprotective Agents [*therapeutic use]; Piperidines [*therapeutic use]; Thiazoles [*therapeutic use]	10.1002/14651858.CD001924	http://dx.doi.org/10.1002/14651858.CD001924	Stroke	CD001924	1
CD001925.PUB2	Aguilar, MI; Hart, R	Antiplatelet therapy for preventing stroke in patients with non‐valvular atrial fibrillation and no previous history of stroke or transient ischemic attacks	2005	Aspirin [therapeutic use]; Atrial Fibrillation [*complications]; Humans; Ischemic Attack, Transient [etiology]; Platelet Aggregation Inhibitors [*therapeutic use]; Randomized Controlled Trials as Topic; Stroke [etiology, *prevention & control]	10.1002/14651858.CD001925.pub2	http://dx.doi.org/10.1002/14651858.CD001925.pub2	Stroke	CD001925	2
CD001927.PUB2	Aguilar, MI; Hart, R	Oral anticoagulants for preventing stroke in patients with non‐valvular atrial fibrillation and no previous history of stroke or transient ischemic attacks	2005	Administration, Oral; Anticoagulants [*therapeutic use]; Atrial Fibrillation [*complications]; Humans; Randomized Controlled Trials as Topic; Stroke [etiology, *prevention & control]	10.1002/14651858.CD001927.pub2	http://dx.doi.org/10.1002/14651858.CD001927.pub2	Stroke	CD001927	2
CD001928.PUB3	Zhang, J; Liu, J; Li, D; Zhang, C; Liu, M	Calcium antagonists for acute ischemic stroke	2019	Acute Disease; Adult; Aged; Aged, 80 and over; Brain Ischemia [*drug therapy, mortality]; Calcium Channel Blockers [administration & dosage, adverse effects, *therapeutic use]; Calcium [metabolism]; Female; Flunarizine [administration & dosage, adverse effects, therapeutic use]; Humans; Isradipine [administration & dosage, adverse effects, therapeutic use]; Male; Middle Aged; Nimodipine [administration & dosage, adverse effects, therapeutic use]; Randomized Controlled Trials as Topic; Stroke [*drug therapy]; Vasodilator Agents [administration & dosage, *therapeutic use]; Young Adult	10.1002/14651858.CD001928.pub3	http://dx.doi.org/10.1002/14651858.CD001928.pub3	Stroke	CD001928	3
CD001929.PUB3	Furlan, AD; Giraldo, M; Baskwill, A; Irvin, E; Imamura, M	Massage for low‐back pain	2015	Acute Pain [therapy]; Adult; Bias; Chronic Pain [therapy]; Humans; Low Back Pain [*therapy]; Manipulation, Spinal; Massage [*adverse effects, methods]; Randomized Controlled Trials as Topic	10.1002/14651858.CD001929.pub3	http://dx.doi.org/10.1002/14651858.CD001929.pub3	Back and Neck	CD001929	3
